                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                 1.0134,                0.62481,                 1.1318,                0.84144,                0.73067,                0.80809,                0.41644,                 1.7127,                  1.111,                  1.561,              0.0010694,              0.0010694,              0.0010694
                     96,                 1.0049,                0.65628,                 1.1081,                0.86126,                0.71974,                0.81608,                0.41525,                 1.7459,                  1.068,                   1.58,              0.0010595,              0.0010595,              0.0010595
                     97,                 1.0487,                0.69176,                 1.1424,                0.82615,                0.75759,                0.82383,                0.40637,                  1.761,                 1.0165,                 1.5881,              0.0010496,              0.0010496,              0.0010496
                     98,                 1.0387,                0.66268,                 1.1397,                0.84994,                0.76449,                 0.8337,                0.41901,                 1.7083,                 1.0351,                 1.5563,              0.0010397,              0.0010397,              0.0010397
                     99,                 1.0476,                0.67714,                 1.1382,                0.85946,                0.71739,                0.84485,                0.43243,                  1.686,                0.99678,                 1.5569,              0.0010298,              0.0010298,              0.0010298
                    100,                 1.0217,                0.65665,                 1.1341,                0.83847,                0.73188,                0.84643,                0.42758,                 1.7001,                  1.013,                 1.5701,              0.0010199,              0.0010199,              0.0010199
                    101,                 1.0139,                0.65621,                 1.1227,                 0.8971,                0.70652,                0.84579,                0.42485,                 1.7134,                 1.0141,                 1.5771,                0.00101,                0.00101,                0.00101
                    102,                0.99985,                0.64078,                 1.1221,                0.88602,                0.70652,                0.83875,                0.43417,                    1.7,                 1.0099,                 1.5704,              0.0010001,              0.0010001,              0.0010001
                    103,                 1.0399,                0.64226,                 1.1331,                0.83029,                0.73188,                0.84217,                0.42819,                 1.6996,                0.99866,                 1.5813,              0.0009902,              0.0009902,              0.0009902
                    104,                 1.0105,                0.64406,                 1.1276,                0.85843,                0.70304,                0.84364,                0.43131,                 1.6832,                0.97489,                 1.5606,              0.0009803,              0.0009803,              0.0009803
                    105,                 1.0368,                0.68103,                 1.1371,                0.82172,                0.77536,                0.84317,                0.43408,                 1.6689,                0.97026,                 1.5381,              0.0009704,              0.0009704,              0.0009704
                    106,                0.99673,                0.62453,                 1.1188,                0.86305,                0.75348,                0.83651,                0.43394,                 1.6794,                0.97737,                 1.5587,              0.0009605,              0.0009605,              0.0009605
                    107,                 1.0144,                0.63852,                  1.118,                0.84146,                0.74999,                 0.8189,                 0.4212,                 1.6758,                 1.0209,                 1.5703,              0.0009506,              0.0009506,              0.0009506
                    108,                0.99626,                0.63803,                 1.1126,                0.80462,                   0.75,                0.81341,                0.41581,                 1.6691,                 1.0222,                 1.5681,              0.0009407,              0.0009407,              0.0009407
                    109,                 1.0576,                0.67038,                 1.1724,                0.88262,                0.71014,                0.82396,                0.41977,                 1.6735,                 1.0362,                 1.5765,              0.0009308,              0.0009308,              0.0009308
                    110,                0.95515,                 0.6078,                 1.0828,                0.83629,                0.72186,                0.82453,                0.43574,                 1.6393,                 1.0405,                 1.5429,              0.0009209,              0.0009209,              0.0009209
                    111,                0.96798,                0.62396,                 1.0923,                0.85663,                0.69928,                0.82345,                0.44078,                 1.6247,                 1.0217,                 1.5217,               0.000911,               0.000911,               0.000911
                    112,                0.98119,                0.61345,                 1.1052,                0.81849,                 0.7352,                  0.814,                0.44425,                  1.649,                 1.0267,                 1.5333,              0.0009011,              0.0009011,              0.0009011
                    113,                 1.0054,                0.65518,                 1.1257,                0.84723,                0.73551,                0.81824,                0.44554,                  1.659,                 1.0096,                 1.5435,              0.0008912,              0.0008912,              0.0008912
                    114,                0.94659,                 0.5864,                 1.0826,                0.85689,                0.71593,                0.82788,                0.44292,                 1.6469,                0.94851,                 1.5251,              0.0008813,              0.0008813,              0.0008813
                    115,                0.97346,                0.60081,                 1.0847,                0.86461,                0.69565,                0.82431,                0.43372,                 1.6623,                0.94506,                 1.5369,              0.0008714,              0.0008714,              0.0008714
                    116,                0.97478,                0.60553,                 1.1023,                0.81818,                 0.7337,                0.82127,                0.42646,                 1.7103,                0.97848,                 1.5815,              0.0008615,              0.0008615,              0.0008615
                    117,                0.96236,                0.59102,                 1.0977,                0.84476,                0.72464,                0.81946,                0.42344,                 1.7287,                0.99815,                 1.5979,              0.0008516,              0.0008516,              0.0008516
                    118,                0.96457,                0.59244,                 1.1065,                0.84845,                0.74638,                0.83526,                0.42498,                 1.7298,                0.99322,                 1.5866,              0.0008417,              0.0008417,              0.0008417
                    119,                0.92873,                0.58142,                 1.0788,                0.84479,                0.74937,                0.83312,                0.43255,                 1.7276,                 0.9917,                 1.5886,              0.0008318,              0.0008318,              0.0008318
                    120,                 1.0105,                0.61495,                 1.1476,                0.83772,                0.76812,                0.83192,                0.42597,                 1.7304,                0.95778,                 1.6072,              0.0008219,              0.0008219,              0.0008219
                    121,                0.92283,                0.58436,                 1.0958,                0.84493,                0.76994,                0.83367,                0.43733,                 1.7014,                0.93868,                 1.5561,               0.000812,               0.000812,               0.000812
                    122,                0.89331,                0.57298,                 1.0586,                0.84189,                0.75725,                0.83089,                0.43694,                 1.6996,                0.94638,                 1.5596,              0.0008021,              0.0008021,              0.0008021
                    123,                0.92795,                0.57579,                 1.0811,                0.87065,                0.72826,                0.82572,                0.43539,                  1.659,                0.95816,                 1.5468,              0.0007922,              0.0007922,              0.0007922
                    124,                0.95321,                0.60578,                 1.0758,                0.86143,                 0.7433,                0.82731,                0.44052,                 1.6559,                0.99372,                 1.5337,              0.0007823,              0.0007823,              0.0007823
                    125,                0.91332,                0.57173,                 1.0538,                0.81621,                0.74018,                0.80539,                0.43184,                   1.67,                 1.0412,                 1.5591,              0.0007724,              0.0007724,              0.0007724
                    126,                0.89803,                0.56437,                 1.0653,                0.79986,                0.73846,                0.79266,                0.42656,                 1.6576,                 1.0417,                 1.5664,              0.0007625,              0.0007625,              0.0007625
                    127,                0.87835,                0.55538,                 1.0618,                0.86016,                0.71377,                0.79918,                0.42214,                 1.6896,                 1.0354,                 1.5947,              0.0007526,              0.0007526,              0.0007526
                    128,                0.90632,                 0.5634,                 1.0834,                0.85411,                0.73551,                0.81081,                 0.4276,                 1.6854,                 1.0188,                 1.5808,              0.0007427,              0.0007427,              0.0007427
                    129,                  0.904,                0.56684,                 1.0747,                0.84206,                0.77536,                 0.8209,                0.43848,                 1.6903,                 1.0115,                 1.5713,              0.0007328,              0.0007328,              0.0007328
                    130,                0.90518,                0.55186,                 1.0818,                0.83606,                0.75757,                0.81096,                0.43852,                 1.6757,                 1.0088,                  1.564,              0.0007229,              0.0007229,              0.0007229
                    131,                0.90121,                0.54783,                 1.0703,                0.82875,                0.76087,                0.82518,                0.44246,                 1.6631,                0.95772,                 1.5671,               0.000713,               0.000713,               0.000713
                    132,                0.88635,                0.53978,                 1.0441,                0.84692,                0.80072,                 0.8426,                0.44591,                  1.654,                0.91975,                 1.5719,              0.0007031,              0.0007031,              0.0007031
                    133,                0.87082,                0.53322,                 1.0618,                0.87709,                0.77899,                 0.8421,                0.44618,                 1.6545,                  0.914,                 1.5817,              0.0006932,              0.0006932,              0.0006932
                    134,                0.86484,                 0.5494,                 1.0464,                0.84139,                 0.7688,                0.82588,                0.43895,                 1.6707,                0.95184,                 1.5727,              0.0006833,              0.0006833,              0.0006833
